nodes;n;p;time
1;200;2;1.87478,1.87669
1;200;2;1.92502,1.92538
1;200;2;1.91571,1.91398
1;200;2;1.79218,1.79236
1;200;2;1.77969,1.77603
1;200;4;1.78158,1.77785,1.77785,1.77973
1;200;4;1.75964,1.75588,1.75513,1.75543
1;200;4;1.70495,1.69848,1.69598,1.69586
1;200;4;2.59136,2.58763,2.58825,2.58981
1;200;4;1.5447,1.53713,1.53791,1.53888
1;200;8;1.98535,1.96527,1.98995,1.9739,1.98285,1.96291,1.9874,1.97002
1;200;8;2.64881,2.66167,2.66126,2.66599,2.64725,2.65838,2.65456,2.66572
1;200;8;1.8069,1.80042,1.80381,1.79665,1.81149,1.8031,1.80689,1.79985
1;200;8;2.21976,2.23479,2.21806,2.22732,2.22501,2.23774,2.22028,2.23788
1;200;8;1.98267,1.98351,1.9862,1.99476,1.98038,1.98829,1.98855,1.99083
1;200;12;2.83424,2.83234,2.83411,2.83803,2.84572,2.84104,2.84279,2.84073,2.84019,2.836,2.83602,2.83999
1;200;12;2.94506,2.94639,2.94508,2.94063,2.95664,2.95537,2.95632,2.9448,2.95268,2.94877,2.94997,2.94213
1;200;12;3.08436,3.18964,3.16839,3.18845,3.18918,3.20665,3.18847,3.20216,3.16988,3.19317,3.17122,3.19235
1;200;12;1.92224,1.92277,1.91955,1.92399,1.93229,1.93469,1.92568,1.93345,1.92479,1.92719,1.92143,1.92346
1;200;12;2.07038,2.07189,2.07052,2.07225,2.08194,2.08469,2.07432,2.07671,2.07935,2.07909,2.0705,2.07582
1;200;16;2.17927,2.17013,2.1871,2.17396,2.17562,2.16919,2.18244,2.17057,2.18128,2.17329,2.18538,2.18076,2.18227,2.17251,2.18501,2.17642
1;200;16;2.18664,2.1899,2.17983,2.19499,2.1844,2.19033,2.17852,2.19554,2.18712,2.19099,2.18275,2.1947,2.18379,2.19524,2.18151,2.19636
1;200;16;2.20452,2.19976,2.19061,2.19447,2.20379,2.19666,2.19452,2.19729,2.20158,2.19713,2.1867,2.19188,2.20661,2.19829,2.19097,2.19739
1;200;16;2.2074,2.19864,2.21113,2.2057,2.20361,2.20412,2.21236,2.20879,2.20408,2.19532,2.20584,2.20265,2.20032,2.1983,2.20739,2.20461
1;200;16;2.19154,2.1727,2.18614,2.16827,2.18706,2.16893,2.18187,2.1653,2.18823,2.17042,2.18659,2.16625,2.18506,2.16626,2.17705,2.16331
1;200;20;3.89921,3.90219,3.90382,3.90462,3.90987,3.91051,3.90287,3.91396,3.90627,3.91349,3.90628,3.91471,3.90327,3.90706,3.9007,3.91014,3.90325,3.89767,3.89927,3.90782
1;200;20;2.50918,2.62391,2.61491,2.62361,2.61934,2.64292,2.62771,2.64677,2.6162,2.64091,2.63062,2.64675,2.62728,2.64416,2.63096,2.65471,2.50974,2.62715,2.61744,2.62665
1;200;20;2.61,2.60256,2.61181,2.60321,2.613,2.60748,2.61861,2.61106,2.61543,2.61186,2.61732,2.60955,2.61035,2.60473,2.61572,2.60244,2.61277,2.60524,2.61171,2.60322
1;200;20;3.78778,3.78658,3.7884,3.78847,3.79949,3.79876,3.80534,3.81083,3.80027,3.80115,3.80769,3.79766,3.78777,3.79978,3.79972,3.80381,3.79957,3.78699,3.7889,3.78
1;200;20;2.72711,2.72593,2.72717,2.72749,2.72666,2.73847,2.73358,2.7438,2.73369,2.73781,2.73231,2.7414,2.72624,2.72963,2.73421,2.74108,2.72566,2.72979,2.73087,2.73552
1;400;2;11.0066,11.0084
1;400;2;10.8148,10.8173
1;400;2;10.9409,10.9402
1;400;2;11.0153,11.0168
1;400;2;11.3525,11.3537
1;400;4;14.7157,14.7094,14.7019,14.7038
1;400;4;14.3432,14.3397,14.3418,14.3408
1;400;4;7.4451,7.43724,7.44061,7.43771
1;400;4;7.2997,7.29918,7.29548,7.29552
1;400;4;6.82586,6.82253,6.82185,6.82215
1;400;8;9.67618,9.66187,9.6764,9.66114,9.67585,9.6661,9.68022,9.66607
1;400;8;10.9932,10.9986,10.9845,10.9944,10.99,11.0022,10.9836,10.9951
1;400;8;8.97076,8.95386,8.96383,8.94881,8.97319,8.95029,8.95934,8.94472
1;400;8;10.2058,10.1909,10.2036,10.1843,10.2072,10.1839,10.2035,10.1786
1;400;8;6.06605,6.06878,6.06972,6.07241,6.06956,6.07033,6.07396,6.07614
1;400;12;10.5966,10.598,10.5998,10.6071,10.6105,10.6139,10.6186,10.6276,10.5963,10.6094,10.6034,10.6116
1;400;12;9.91733,9.94125,9.92949,9.9388,9.94035,9.9509,9.94316,9.94761,9.92663,9.94422,9.93351,9.94257
1;400;12;8.29558,8.29443,8.30066,8.298,8.30676,8.30771,8.31118,8.30866,8.3036,8.2996,8.30529,8.30367
1;400;12;8.03832,8.0453,8.03322,8.05076,8.0569,8.06631,8.04935,8.0659,8.04197,8.05385,8.03584,8.0476
1;400;12;8.59379,8.5942,8.59055,8.59,8.6045,8.59923,8.60136,8.59876,8.60503,8.59634,8.59649,8.592
1;400;16;6.1664,6.15052,6.16878,6.15197,6.16183,6.14299,6.16592,6.14762,6.16082,6.14473,6.16476,6.15176,6.1621,6.14423,6.16439,6.14569
1;400;16;5.61261,5.60123,5.60879,5.59652,5.61492,5.60306,5.61597,5.60136,5.61039,5.59691,5.60701,5.59367,5.616,5.60344,5.61175,5.59714
1;400;16;5.70015,5.7023,5.69946,5.70623,5.69478,5.69316,5.69374,5.69834,5.68623,5.69901,5.69097,5.69876,5.69707,5.6963,5.693,5.6937
1;400;16;5.6737,5.67484,5.66187,5.65592,5.6648,5.68121,5.65536,5.66268,5.67104,5.6813,5.66643,5.65981,5.66672,5.67834,5.65691,5.66742
1;400;16;5.61309,5.61276,5.62086,5.62042,5.60611,5.60791,5.60745,5.61394,5.61083,5.60963,5.61952,5.61971,5.60557,5.60428,5.60947,5.61148
1;400;20;11.7752,11.764,11.7757,11.7732,11.7918,11.7869,11.7949,11.793,11.7837,11.7764,11.7926,11.7889,11.7951,11.7807,11.7991,11.7889,11.7754,11.7642,11.78,11.7763
1;400;20;11.5148,11.5018,11.5126,11.5071,11.516,11.5062,11.5263,11.5193,11.5216,11.5081,11.521,11.5177,11.5169,11.5048,11.5198,11.5079,11.5096,11.5018,11.5135,11.5135
1;400;20;11.672,11.6768,11.6748,11.6846,11.6761,11.6832,11.6797,11.6905,11.6762,11.6856,11.6795,11.6903,11.6796,11.6821,11.6784,11.6894,11.6712,11.6793,11.6769,11.6838
1;400;20;11.4628,11.4638,11.4597,11.4578,11.4724,11.4672,11.473,11.4654,11.4781,11.4692,11.4715,11.4675,11.4713,11.4642,11.4686,11.4606,11.464,11.463,11.4638,11.4587
1;400;20;8.76255,8.7365,8.76858,8.74372,8.77862,8.75433,8.78381,8.76,8.77831,8.75755,8.78453,8.76279,8.79108,8.76557,8.78762,8.76854,8.7724,8.74053,8.76485,8.74589
1;800;2;77.9837,77.9825
1;800;2;79.224,79.2282
1;800;2;79.5411,79.5435
1;800;2;80.2458,80.2431
1;800;2;80.0543,80.0568
1;800;4;48.5772,48.5716,48.5732,48.5728
1;800;4;48.4939,48.4892,48.4897,48.4923
1;800;4;48.6391,48.6346,48.6372,48.6371
1;800;4;48.7685,48.7669,48.7646,48.7621
1;800;4;48.6851,48.6833,48.68,48.6831
1;800;8;32.7811,32.789,32.7761,32.7875,32.777,32.7866,32.7727,32.7822
1;800;8;57.7923,57.8117,57.7988,57.8158,57.7985,57.8162,57.8017,57.821
1;800;8;31.3869,31.3869,31.3815,31.3905,31.391,31.3855,31.3888,31.3892
1;800;8;58.0441,58.0688,58.0527,58.0714,58.0535,58.069,58.0611,58.0725
1;800;8;54.1875,54.2091,54.1846,54.2062,54.1808,54.2061,54.1785,54.1924
1;800;12;42.9743,42.9849,42.9733,42.9785,42.9855,42.989,42.9813,42.9926,42.9821,42.9852,42.9735,42.986
1;800;12;43.2439,43.2487,43.2464,43.2476,43.2494,43.26,43.26,43.2612,43.2491,43.2543,43.2538,43.2523
1;800;12;53.7872,53.7947,53.7886,53.7946,53.8034,53.8038,53.8011,53.8017,53.7953,53.7951,53.7909,53.7923
1;800;12;40.2876,40.2909,40.2889,40.2921,40.2972,40.3025,40.2994,40.3048,40.2856,40.2979,40.2929,40.296
1;800;12;43.113,43.0846,43.1012,43.0875,43.1283,43.1083,43.1241,43.0998,43.1165,43.0889,43.1033,43.0875
1;800;16;23.3856,23.374,23.3795,23.3696,23.3791,23.3694,23.3735,23.3658,23.388,23.3756,23.3838,23.3753,23.3851,23.3722,23.377,23.374
1;800;16;21.577,21.5942,21.5806,21.5938,21.5794,21.5957,21.5834,21.5931,21.5741,21.5875,21.5816,21.5899,21.5801,21.5908,21.5798,21.5918
1;800;16;22.0809,22.0629,22.0742,22.0546,22.0812,22.0619,22.0822,22.06,22.0805,22.0625,22.0778,22.0589,22.0847,22.066,22.0812,22.0651
1;800;16;21.5035,21.5238,21.5086,21.5258,21.5069,21.5265,21.5135,21.528,21.5028,21.5195,21.5058,21.5241,21.5077,21.5242,21.5127,21.5285
1;800;16;22.5587,22.5786,22.563,22.5858,22.5547,22.5772,22.5586,22.5808,22.5632,22.5825,22.5648,22.5874,22.5601,22.5772,22.5634,22.5799
1;800;20;49.8262,49.8541,49.8308,49.8507,49.841,49.8684,49.8512,49.877,49.8325,49.8607,49.8409,49.8668,49.8401,49.8671,49.8365,49.8702,49.8269,49.8547,49.8388,49.8639
1;800;20;42.5843,42.6064,42.5836,42.6045,42.5953,42.6201,42.5894,42.6145,42.6109,42.6321,42.5989,42.6216,42.5992,42.6338,42.5953,42.6171,42.5898,42.6133,42.5802,42.5996
1;800;20;53.092,53.0316,53.0928,53.0496,53.1135,53.0621,53.1159,53.0667,53.1166,53.0629,53.1136,53.0715,53.1152,53.0683,53.12,53.0789,53.0967,53.0429,53.1091,53.0593
1;800;20;45.2271,45.2509,45.2361,45.2581,45.2532,45.2718,45.2557,45.2755,45.2395,45.2684,45.2395,45.2663,45.2481,45.2704,45.254,45.2751,45.2339,45.259,45.2341,45.2696
1;800;20;42.5973,42.5892,42.5987,42.58,42.6167,42.6054,42.6152,42.5937,42.6187,42.5941,42.6054,42.5859,42.611,42.5977,42.6063,42.5899,42.6061,42.5853,42.5924,42.5865
1;1600;2;812.07,812.07
1;1600;2;813.552,813.555
1;1600;2;812.759,812.764
1;1600;2;812.837,812.839
1;1600;2;809.646,809.647
1;1600;4;463.013,463.014,463.015,463.008
1;1600;4;459.664,459.667,459.664,459.665
1;1600;4;485.208,485.211,485.21,485.211
1;1600;4;462.939,462.939,462.939,462.939
1;1600;4;480.845,480.844,480.842,480.843
1;1600;8;262.43,262.447,262.43,262.439,262.437,262.447,262.435,262.447
1;1600;8;262.872,262.897,262.874,262.892,262.882,262.897,262.877,262.898
1;1600;8;289.549,289.541,289.549,289.541,289.548,289.534,289.548,289.535
1;1600;8;259.901,259.914,259.895,259.913,259.907,259.915,259.901,259.914
1;1600;8;272.785,272.807,272.782,272.803,272.792,272.811,272.786,272.807
1;1600;12;219.195,219.197,219.202,219.199,219.203,219.206,219.215,219.212,219.203,219.201,219.205,219.2
1;1600;12;227.563,227.564,227.564,227.577,227.576,227.581,227.581,227.583,227.562,227.571,227.569,227.584
1;1600;12;218.188,218.193,218.199,218.2,218.196,218.206,218.209,218.209,218.198,218.192,218.201,218.204
1;1600;12;218.906,218.905,218.903,218.902,218.92,218.919,218.916,218.913,218.914,218.91,218.905,218.902
1;1600;12;271.734,271.724,271.743,271.739,271.764,271.75,271.764,271.753,271.74,271.727,271.744,271.74
1;1600;16;155.851,155.878,155.857,155.88,155.849,155.871,155.852,155.874,155.86,155.878,155.86,155.881,155.854,155.877,155.857,155.878
1;1600;16;156.832,156.865,156.832,156.872,156.833,156.869,156.838,156.872,156.836,156.868,156.84,156.873,156.838,156.871,156.841,156.873
1;1600;16;156.114,156.091,156.109,156.085,156.117,156.094,156.112,156.088,156.119,156.093,156.113,156.088,156.119,156.094,156.117,156.093
1;1600;16;157.054,157.032,157.053,157.026,157.054,157.029,157.05,157.021,157.058,157.035,157.055,157.028,157.057,157.028,157.051,157.025
1;1600;16;156.819,156.793,156.825,156.8,156.825,156.8,156.824,156.8,156.818,156.79,156.821,156.796,156.822,156.797,156.824,156.801
1;1600;20;248.337,248.355,248.337,248.339,248.354,248.361,248.346,248.348,248.363,248.378,248.353,248.359,248.35,248.359,248.346,248.35,248.35,248.358,248.332,248.343
1;1600;20;246.209,246.17,246.208,246.174,246.233,246.184,246.221,246.177,246.243,246.204,246.227,246.188,246.229,246.193,246.23,246.187,246.225,246.183,246.208,246.168
1;1600;20;247.3,247.337,247.306,247.348,247.326,247.359,247.342,247.376,247.321,247.368,247.339,247.373,247.325,247.375,247.349,247.373,247.308,247.337,247.315,247.354
1;1600;20;248.285,248.313,248.297,248.318,248.315,248.342,248.312,248.345,248.319,248.336,248.313,248.338,248.323,248.338,248.326,248.343,248.29,248.314,248.296,248.325
1;1600;20;249.826,249.834,249.826,249.822,249.837,249.839,249.83,249.837,249.843,249.838,249.836,249.839,249.835,249.842,249.827,249.832,249.833,249.831,249.822,249.83
1;3200;2;7513.56,7513.56
1;3200;2;7400.31,7400.32
1;3200;2;7497.42,7497.43
1;3200;2;7425.77,7425.78
1;3200;2;7436.61,7436.62
1;3200;4;4838,4838,4838.01,4838
1;3200;4;5743.58,5743.58,5743.58,5743.59
1;3200;4;4242.86,4242.86,4242.86,4242.87
1;3200;4;5774.53,5774.53,5774.54,5774.54
1;3200;4;4884.69,4884.69,4884.7,4884.69
